drugbank_id,entity_id,smiles
DB00188,0,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)B(O)O
DB00331,1,CN(C)C(=N)N=C(N)N 
DB00361,2,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
DB00398,3,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
DB00441,4,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
DB00530,5,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
DB00544,6,OC1=NC(O)=C(F)C=N1
DB00563,7,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
DB00570,8,[H][C@@]12CN(CCc3c([nH]c4ccccc34)[C@@](C1)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@@]7([H])[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@]89[H])C(=O)OC)C[C@](O)(CC)C2
DB00773,9,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
DB00997,10,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)O
DB01030,11,O=C1N4C(=CC2=C1COC(=O)[C@]2(O)CC)c3nc5c(cc3C4)c(c(O)cc5)CN(C)C
DB01229,12,CC1=C2[C@H](C(=O)[C@@]3([C@H](CC4O[C@H]4C[C@@H]3[C@H](OC(=O)C)[C@@H](OC(=O)C5=CC=CC=C5)C(C2=C(C)C1(O)C)(C)C)OC(=O)C)O)OC(=O)[C@H](O)[C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC=C7
DB01234,13,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
DB01254,14,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
DB01259,15,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
DB01268,16,CCN(CC)CCNC(=O)C1=C(C)NC(C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
DB02424,17,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC
DB02546,18,O=C(Nc1ccccc1)CCCCCCC(=O)NO
DB05482,19,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=C(CC)C5=CC(O)=CC=C5N=C4C3=C2)=O
DB07232,20,C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
